[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,siminputrow
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,821,7,1.6363235434424883,55,[2.174 2.102],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,2742,11,2.2793931026910754,243,[2.19 2.116],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5384,15,2.1346165910093147,1950,[2.182 2.112],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5577,16,1.8363346596310675,2090,[2.123 2.117],10
1,1.1,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,399,23,2.4150809540631384,608,[5.49 5.506],11
1,1.2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,815,24,2.6752382985076313,1041,[5.415 5.443],12
1,1.5,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,2974,15,2.362419357883931,3840,[5.381 5.381],13
1,2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5417,15,1.9793570654584673,4711,[5.464 5.467],14
1,3,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5447,8,0.7800822781757325,4630,[5.293 5.485],15
1,1.1,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,444,20,2.495558595470458,1432,[10.711 10.371],16
1,1.2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,762,25,2.402663452624509,2496,[10.603 10.369],17
1,1.5,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,2629,18,1.9574220812934584,4839,[10.36 10.52],18
1,2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5733,14,1.8325623128688442,5582,[10.358 10.32],19
1,3,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5950,8,1.5248534527631104,5397,[10.274 10.417],20
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,370,2,0.6730116670092565,10,[1.243 1.267],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,909,1,0,4,[1.244 1.253],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,3474,1,0,7,[1.244 1.271],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,5606,1,0,2,[1.24 1.28],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,5829,1,0,4,[1.268 1.266],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,358,7,1.661322839318102,16,[2.136 2.114],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,232727391,1500,758,6,1.6955886963358593,67,[2.122 2.086],7
