"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.1-4"
"06/29/2021 18:41:12:282 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"162","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","25","2.9698652995605554","179"
"165","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","22","2.7768002369155864","173"
"166","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","31","3.0991329226466298","298"
"167","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","26","2.918984330339303","214"
"168","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","30","3.1384867614451544","241"
"51","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","39","2.74862255787161","3558"
"169","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","2.883158677823432","202"
"170","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","2.7884307556749643","267"
"182","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","39","3.322475947623159","402"
"183","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","35","3.1567063105522193","333"
"181","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","27","2.840406975272006","349"
"185","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","28","3.044779260808074","298"
"184","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","35","3.2463363475740503","223"
"186","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","34","3.2417687187481516","429"
"188","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","37","3.2807978008636787","503"
"187","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","30","3.1880123092461083","307"
"191","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","39","3.1888825597497825","439"
"189","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","36","3.1115690265048035","451"
"190","99","99","0.6","1.5","1.2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","32","3.047705659548055","403"
"192","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","24","2.8437832173141384","205"
"194","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","30","3.0811378375873217","398"
"193","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","32","3.200563271560522","427"
"195","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","30","2.7859543304973715","386"
"196","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","35","3.166850331021221","389"
"199","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","31","3.1509960941510364","299"
"197","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","31","3.0552354002095274","442"
"198","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","38","3.2676436952683043","449"
"200","99","99","0.6","1.5","1.2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","34","3.2119267267526777","408"
"84","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","39","2.9290866307883445","4262"
"86","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","32","2.6568795562560097","4476"
"82","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","33","2.565791289019455","4380"
"81","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","29","2.5694659640925646","4404"
"89","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","31","2.56690397757326","4645"
"83","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","29","2.433273810224591","4869"
"90","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","26","2.202863254819058","4494"
"85","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","30","2.8917979743096716","4448"
"88","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","33","2.6399227874417623","4397"
"87","99","99","0.6","1.1","1.5","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","32","2.445513187643198","4686"
"211","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","46","3.0153420082498075","2065"
"212","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","33","2.852296606024056","1848"
"213","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","41","2.9571857634764105","2000"
"214","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","48","3.170264536458157","2106"
"215","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","38","2.7840277149502097","1949"
"217","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","41","3.05636394089307","1903"
"218","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","41","2.988077649671516","1981"
"216","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","38","2.4907357223565936","1829"
"219","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","40","3.023574992878986","2073"
"220","99","99","0.6","1.5","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","38","2.718481720192161","1976"
"223","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","34","2.0802237457842545","1891"
"221","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","34","2.774751317477254","2033"
"222","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","44","2.540009641337932","2372"
"224","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","33","2.263140681658235","1891"
"226","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","37","2.5765478154920634","1849"
"225","99","99","0.6","1.5","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","47","2.5190666367360435","1967"
